Register Number	CAT1	CAT2	FAT	AS1	AS2	Q1	Q2	Q3
24VITAP2001	45	48	93	10	10	10	10	10
24VITAP2002	20	23	43	10	9	0	2	10
24VITAP2003	42	34	76	8	9	10	3	8
24VITAP2004	23	30	53	8	7	7	0	8
24VITAP2005	13	30	43	9	9	8	4	9
24VITAP2006	32	28	60	0	9	5	4	0
24VITAP2007	1	16	17	8	9	0	2	8
24VITAP2008	5	23	28	10	8	3	8	10
24VITAP2009	30	24	54	0	8	8	0	0
24VITAP2010	27	29	56	10	9	9	8	10
24VITAP2011	17	23	40	2	9	0	6	2
24VITAP2012	1	15	16	0	8	7	0	0
24VITAP2013	10	10	20	5	0	3	0	5
24VITAP2014	16	32	48	6	9	7	4	6
24VITAP2015	20	25	45	4	7	6	0	4
24VITAP2016	45	49	94	10	9	10	10	10
24VITAP2017	5	13	18	8	9	5	8	8
24VITAP2018	47	46	93	8	10	10	6	8
24VITAP2019	5	7	12	4	7	1	6	4
24VITAP2020	41	39	80	6	9	10	8	6
